acceleration,deceleration,minGap,lcSpeedGain,lcCooperative,lcPushy,lcStrategic,lcAssertive,PMx
9.473,9.199,2.126,4.627,0.611,0.197,3.768,0.005,27850.321841
5.16,7.113,1.104,1.232,0.342,0.295,1.049,1.675,25913.979369
8.348,7.113,1.104,1.232,0.342,0.295,1.049,1.675,26501.161418
5.16,7.324,1.104,1.232,0.342,0.295,1.049,1.675,25753.222155
5.16,7.113,1.989,1.232,0.342,0.295,1.049,1.675,25864.514413
5.16,7.113,1.104,4.958,0.342,0.295,1.049,1.675,26092.120345
5.16,7.113,1.104,1.232,0.799,0.295,1.049,1.675,25495.197705
5.16,7.113,1.104,1.232,0.342,0.635,1.049,1.675,25321.100305
5.16,7.113,1.104,1.232,0.342,0.295,1.924,1.675,25470.565382
5.16,7.113,1.104,1.232,0.342,0.295,1.049,2.036,26133.741657
5.16,7.324,1.989,4.958,0.799,0.635,1.924,2.036,25301.496758
8.348,7.113,1.989,4.958,0.799,0.635,1.924,2.036,27027.693350999998
8.348,7.324,1.104,4.958,0.799,0.635,1.924,2.036,26184.927569
8.348,7.324,1.989,1.232,0.799,0.635,1.924,2.036,25115.026111
8.348,7.324,1.989,4.958,0.342,0.635,1.924,2.036,26747.858263000002
8.348,7.324,1.989,4.958,0.799,0.295,1.924,2.036,26480.161258
8.348,7.324,1.989,4.958,0.799,0.635,1.049,2.036,26821.451642
8.348,7.324,1.989,4.958,0.799,0.635,1.924,1.675,26677.021303
8.348,7.324,1.989,4.958,0.799,0.635,1.924,2.036,26174.582413
8.16,10.113,2.204,3.882,0.842,0.795,3.999,0.425,26904.958077
5.348,10.113,2.204,3.882,0.842,0.795,3.999,0.425,25760.442559000003
8.16,10.324,2.204,3.882,0.842,0.795,3.999,0.425,26228.526515999998
8.16,10.113,0.889,3.882,0.842,0.795,3.999,0.425,27011.373652000002
8.16,10.113,2.204,2.308,0.842,0.795,3.999,0.425,27621.943663
8.16,10.113,2.204,3.882,0.299,0.795,3.999,0.425,26304.152542
8.16,10.113,2.204,3.882,0.842,0.135,3.999,0.425,26929.441817
8.16,10.113,2.204,3.882,0.842,0.795,4.874,0.425,26457.723595
8.16,10.113,2.204,3.882,0.842,0.795,3.999,0.786,26491.593835
8.16,10.324,0.889,2.308,0.299,0.135,4.874,0.786,26572.234092
5.348,10.113,0.889,2.308,0.299,0.135,4.874,0.786,22582.219632
5.348,10.324,2.204,2.308,0.299,0.135,4.874,0.786,25976.887579
5.348,10.324,0.889,3.882,0.299,0.135,4.874,0.786,19858.833120000003
5.348,10.324,0.889,2.308,0.842,0.135,4.874,0.786,25825.773656999998
5.348,10.324,0.889,2.308,0.299,0.795,4.874,0.786,23012.340968999997
5.348,10.324,0.889,2.308,0.299,0.135,3.999,0.786,25697.767942
5.348,10.324,0.889,2.308,0.299,0.135,4.874,0.425,26556.935647000002
5.348,10.324,0.889,2.308,0.299,0.135,4.874,0.786,26010.123713
9.66,8.613,0.554,2.557,0.592,0.545,2.524,1.05,27402.1587
6.848,8.613,0.554,2.557,0.592,0.545,2.524,1.05,25270.659784
9.66,11.824,0.554,2.557,0.592,0.545,2.524,1.05,26913.30611
9.66,8.613,0.339,2.557,0.592,0.545,2.524,1.05,27097.145773
9.66,8.613,0.554,0.983,0.592,0.545,2.524,1.05,27188.841214
9.66,8.613,0.554,2.557,0.549,0.545,2.524,1.05,27275.228856
9.66,8.613,0.554,2.557,0.592,0.885,2.524,1.05,26638.371619999998
9.66,8.613,0.554,2.557,0.592,0.545,3.399,1.05,21856.371610000002
9.66,8.613,0.554,2.557,0.592,0.545,2.524,1.411,26801.566064
9.66,11.824,0.339,0.983,0.549,0.885,3.399,1.411,26817.024473999998
6.848,8.613,0.339,0.983,0.549,0.885,3.399,1.411,26348.747159
6.848,11.824,0.554,0.983,0.549,0.885,3.399,1.411,21890.777627
6.848,11.824,0.339,2.557,0.549,0.885,3.399,1.411,26618.399735
6.848,11.824,0.339,0.983,0.592,0.885,3.399,1.411,25738.637410000003
6.848,11.824,0.339,0.983,0.549,0.545,3.399,1.411,25948.127561
6.848,11.824,0.339,0.983,0.549,0.885,2.524,1.411,21839.061297
6.848,11.824,0.339,0.983,0.549,0.885,3.399,1.05,25841.785645
6.848,11.824,0.339,0.983,0.549,0.885,3.399,1.411,25943.160145
6.66,11.613,1.654,5.207,0.092,0.045,5.474,2.3,26153.253101000002
9.848,11.613,1.654,5.207,0.092,0.045,5.474,2.3,27421.213165
6.66,8.824,1.654,5.207,0.092,0.045,5.474,2.3,26347.845508
6.66,11.613,1.439,5.207,0.092,0.045,5.474,2.3,25692.474011000002
6.66,11.613,1.654,3.633,0.092,0.045,5.474,2.3,26242.22897
6.66,11.613,1.654,5.207,0.049,0.045,5.474,2.3,19249.785976
6.66,11.613,1.654,5.207,0.092,0.385,5.474,2.3,25897.753483
6.66,11.613,1.654,5.207,0.092,0.045,0.449,2.3,26521.314691
6.66,11.613,1.654,5.207,0.092,0.045,5.474,0.161,17640.600139
6.66,8.824,1.439,3.633,0.049,0.385,0.449,0.161,18074.541909
9.848,11.613,1.439,3.633,0.049,0.385,0.449,0.161,27702.533158
9.848,8.824,1.654,3.633,0.049,0.385,0.449,0.161,18997.798978000003
9.848,8.824,1.439,5.207,0.049,0.385,0.449,0.161,19913.141362000002
9.848,8.824,1.439,3.633,0.092,0.385,0.449,0.161,19443.217206
9.848,8.824,1.439,3.633,0.049,0.045,0.449,0.161,22141.563353999998
9.848,8.824,1.439,3.633,0.049,0.385,5.474,0.161,27344.21621
9.848,8.824,1.439,3.633,0.049,0.385,0.449,2.3,27176.814762
9.848,8.824,1.439,3.633,0.049,0.385,0.449,0.161,17535.312597
5.91,7.863,2.479,4.544,0.217,0.42,1.786,0.737,17217.433615
6.098,7.863,2.479,4.544,0.217,0.42,1.786,0.737,23367.482182
5.91,9.574,2.479,4.544,0.217,0.42,1.786,0.737,21730.861012
5.91,7.863,0.614,4.544,0.217,0.42,1.786,0.737,20600.047413
5.91,7.863,2.479,2.971,0.217,0.42,1.786,0.737,18067.257487
5.91,7.863,2.479,4.544,0.674,0.42,1.786,0.737,26205.588037
5.91,7.863,2.479,4.544,0.217,0.01,1.786,0.737,25170.519814000003
5.91,7.863,2.479,4.544,0.217,0.42,1.187,0.737,25906.477869000002
5.91,7.863,2.479,4.544,0.217,0.42,1.786,0.474,17096.457939
5.91,9.574,0.614,2.971,0.674,0.01,1.187,0.474,25424.923371999997
6.098,7.863,0.614,2.971,0.674,0.01,1.187,0.474,25617.955111000003
6.098,9.574,2.479,2.971,0.674,0.01,1.187,0.474,26272.4899
6.098,9.574,0.614,4.544,0.674,0.01,1.187,0.474,25914.045041
6.098,9.574,0.614,2.971,0.217,0.01,1.187,0.474,17276.097465000003
6.098,9.574,0.614,2.971,0.674,0.42,1.187,0.474,25462.309414
