acceleration,deceleration,minGap,lcSpeedGain,lcCooperative,lcPushy,lcStrategic,lcAssertive,PMx
6.1,7.9,2.5,4.5,0.2,0.4,1.8,0.7,23367.482182
5.9,9.6,2.5,4.5,0.2,0.4,1.8,0.7,21730.861012
5.9,7.9,0.6,4.5,0.2,0.4,1.8,0.7,20600.047413
5.9,7.9,2.5,3.0,0.2,0.4,1.8,0.7,18067.257487
5.9,7.9,2.5,4.5,0.7,0.4,1.8,0.7,26205.588037
5.9,7.9,2.5,4.5,0.2,0.0,1.8,0.7,25170.519814000003
5.9,7.9,2.5,4.5,0.2,0.4,1.2,0.7,25906.477869000002
5.9,7.9,2.5,4.5,0.2,0.4,1.8,0.5,17096.457939
5.9,9.6,0.6,3.0,0.7,0.0,1.2,0.5,25424.923371999997
6.1,7.9,0.6,3.0,0.7,0.0,1.2,0.5,25617.955111000003
6.1,9.6,2.5,3.0,0.7,0.0,1.2,0.5,26272.4899
6.1,9.6,0.6,4.5,0.7,0.0,1.2,0.5,25914.045041
6.1,9.6,0.6,3.0,0.2,0.0,1.2,0.5,17276.097465000003
6.1,9.6,0.6,3.0,0.7,0.4,1.2,0.5,25462.309414
6.1,9.6,0.6,3.0,0.7,0.0,1.8,0.5,25525.720941
6.1,9.6,0.6,3.0,0.7,0.0,1.2,0.7,26234.671617
6.1,9.6,0.6,3.0,0.7,0.0,1.2,0.5,26060.394897
8.9,10.9,1.4,1.9,0.7,0.9,4.7,2.0,27072.066389
9.1,10.9,1.4,1.9,0.7,0.9,4.7,2.0,27453.959298
8.9,6.6,1.4,1.9,0.7,0.9,4.7,2.0,26091.450194999998
8.9,10.9,1.7,1.9,0.7,0.9,4.7,2.0,26909.79133
8.9,10.9,1.4,0.3,0.7,0.9,4.7,2.0,27254.564255
8.9,10.9,1.4,1.9,0.2,0.9,4.7,2.0,26911.121406000002
8.9,10.9,1.4,1.9,0.7,0.5,4.7,2.0,27125.82825
8.9,10.9,1.4,1.9,0.7,0.9,4.1,2.0,27238.188557
8.9,10.9,1.4,1.9,0.7,0.9,4.7,1.7,26501.542937
8.9,6.6,1.7,0.3,0.2,0.5,4.1,1.7,27329.467196999998
9.1,10.9,1.7,0.3,0.2,0.5,4.1,1.7,21670.277308
9.1,6.6,1.4,0.3,0.2,0.5,4.1,1.7,26685.555047
9.1,6.6,1.7,1.9,0.2,0.5,4.1,1.7,26981.092108
9.1,6.6,1.7,0.3,0.7,0.5,4.1,1.7,26905.860301
9.1,6.6,1.7,0.3,0.2,0.9,4.1,1.7,27293.25337
9.1,6.6,1.7,0.3,0.2,0.5,4.7,1.7,27108.178981
9.1,6.6,1.7,0.3,0.2,0.5,4.1,2.0,26869.240581
9.1,6.6,1.7,0.3,0.2,0.5,4.1,1.7,26972.279892
7.4,6.4,1.9,3.2,1.0,0.7,0.3,1.4,26602.1181
7.6,6.4,1.9,3.2,1.0,0.7,0.3,1.4,26306.905583
7.4,8.1,1.9,3.2,1.0,0.7,0.3,1.4,26648.484181
7.4,6.4,2.3,3.2,1.0,0.7,0.3,1.4,26911.391765
7.4,6.4,1.9,1.6,1.0,0.7,0.3,1.4,26360.983937
7.4,6.4,1.9,3.2,0.9,0.7,0.3,1.4,26404.815419000002
7.4,6.4,1.9,3.2,1.0,0.3,0.3,1.4,26081.046992999996
7.4,6.4,1.9,3.2,1.0,0.7,5.6,1.4,26608.301149
7.4,6.4,1.9,3.2,1.0,0.7,0.3,1.1,25436.820720000003
7.4,8.1,2.3,1.6,0.9,0.3,5.6,1.1,26310.846801
7.6,6.4,2.3,1.6,0.9,0.3,5.6,1.1,23597.092468
7.6,8.1,1.9,1.6,0.9,0.3,5.6,1.1,26287.920194
7.6,8.1,2.3,3.2,0.9,0.3,5.6,1.1,26348.972370000003
7.6,8.1,2.3,1.6,1.0,0.3,5.6,1.1,26397.766218
7.6,8.1,2.3,1.6,0.9,0.7,5.6,1.1,26317.400767
7.6,8.1,2.3,1.6,0.9,0.3,0.3,1.1,26858.364966
7.6,8.1,2.3,1.6,0.9,0.3,5.6,1.4,26461.467076
7.6,8.1,2.3,1.6,0.9,0.3,5.6,1.1,26673.542045000002
4.4,9.4,0.8,0.6,0.5,0.2,3.3,0.1,25879.120156
4.6,9.4,0.8,0.6,0.5,0.2,3.3,0.1,25885.027038
4.4,11.1,0.8,0.6,0.5,0.2,3.3,0.1,20352.335026
4.4,9.4,1.2,0.6,0.5,0.2,3.3,0.1,17995.196381
4.4,9.4,0.8,4.3,0.5,0.2,3.3,0.1,25895.795089
4.4,9.4,0.8,0.6,0.4,0.2,3.3,0.1,25501.88841
4.4,9.4,0.8,0.6,0.5,0.8,3.3,0.1,19407.063543
4.4,9.4,0.8,0.6,0.5,0.2,2.7,0.1,20088.320268000003
4.4,9.4,0.8,0.6,0.5,0.2,3.3,2.3,25959.233914
4.4,11.1,1.2,4.3,0.4,0.8,2.7,2.3,26414.007816999998
4.6,9.4,1.2,4.3,0.4,0.8,2.7,2.3,25852.080392999997
4.6,11.1,0.8,4.3,0.4,0.8,2.7,2.3,25516.267984
4.6,11.1,1.2,0.6,0.4,0.8,2.7,2.3,19845.404097
4.6,11.1,1.2,4.3,0.5,0.8,2.7,2.3,25820.668539000002
4.6,11.1,1.2,4.3,0.4,0.2,2.7,2.3,26311.216377
4.6,11.1,1.2,4.3,0.4,0.8,3.3,2.3,25749.834279000002
4.6,11.1,1.2,4.3,0.4,0.8,2.7,0.1,17896.92974
4.6,11.1,1.2,4.3,0.4,0.8,2.7,2.3,25484.965449000003
4.6,6.2,2.1,4.7,0.6,0.9,4.9,1.3,25314.532961
5.2,6.2,2.1,4.7,0.6,0.9,4.9,1.3,25195.679638
4.6,7.5,2.1,4.7,0.6,0.9,4.9,1.3,25763.681945000004
4.6,6.2,1.2,4.7,0.6,0.9,4.9,1.3,24676.569287
4.6,6.2,2.1,3.1,0.6,0.9,4.9,1.3,24390.435879
4.6,6.2,2.1,4.7,0.6,0.9,4.9,1.3,25231.892343
4.6,6.2,2.1,4.7,0.6,1.0,4.9,1.3,25873.463232
4.6,6.2,2.1,4.7,0.6,0.9,5.1,1.3,25510.933383000003
4.6,6.2,2.1,4.7,0.6,0.9,4.9,0.4,25450.523465000002
4.6,7.5,1.2,3.1,0.6,1.0,5.1,0.4,25503.474648
5.2,6.2,1.2,3.1,0.6,1.0,5.1,0.4,17280.730116
5.2,7.5,2.1,3.1,0.6,1.0,5.1,0.4,16892.318603
5.2,7.5,1.2,4.7,0.6,1.0,5.1,0.4,26107.861854000002
5.2,7.5,1.2,3.1,0.6,1.0,5.1,0.4,24198.470483
5.2,7.5,1.2,3.1,0.6,0.9,5.1,0.4,24841.488361999996
5.2,7.5,1.2,3.1,0.6,1.0,4.9,0.4,24527.252387
5.2,7.5,1.2,3.1,0.6,1.0,5.1,1.3,25061.79188
5.2,7.5,1.2,3.1,0.6,1.0,5.1,0.4,25574.256032
7.6,9.2,1.0,2.1,0.1,0.4,2.0,0.0,26980.961227999996
8.2,9.2,1.0,2.1,0.1,0.4,2.0,0.0,20479.28649
7.6,10.5,1.0,2.1,0.1,0.4,2.0,0.0,26692.266024
7.6,9.2,2.3,2.1,0.1,0.4,2.0,0.0,26867.559517
7.6,9.2,1.0,0.5,0.1,0.4,2.0,0.0,27111.555457000002
7.6,9.2,1.0,2.1,0.1,0.4,2.0,0.0,26328.976027999997
7.6,9.2,1.0,2.1,0.1,0.5,2.0,0.0,26588.545929
7.6,9.2,1.0,2.1,0.1,0.4,2.1,0.0,26386.167460999997
7.6,9.2,1.0,2.1,0.1,0.4,2.0,1.6,18446.69572
7.6,10.5,2.3,0.5,0.1,0.5,2.1,1.6,26676.975512999998
8.2,9.2,2.3,0.5,0.1,0.5,2.1,1.6,26764.647357
8.2,10.5,1.0,0.5,0.1,0.5,2.1,1.6,26625.308963000003
8.2,10.5,2.3,2.1,0.1,0.5,2.1,1.6,19012.934147
8.2,10.5,2.3,0.5,0.1,0.5,2.1,1.6,26714.845888
8.2,10.5,2.3,0.5,0.1,0.4,2.1,1.6,26792.456906
8.2,10.5,2.3,0.5,0.1,0.5,2.0,1.6,26318.428151
8.2,10.5,2.3,0.5,0.1,0.5,2.1,0.0,19018.493432
8.2,10.5,2.3,0.5,0.1,0.5,2.1,1.6,20154.400689000002
9.1,7.7,1.6,3.4,0.3,0.1,3.4,0.7,26502.66126
9.7,7.7,1.6,3.4,0.3,0.1,3.4,0.7,27160.275220000003
9.1,9.0,1.6,3.4,0.3,0.1,3.4,0.7,26847.907257
9.1,7.7,1.8,3.4,0.3,0.1,3.4,0.7,27337.489448000004
9.1,7.7,1.6,1.8,0.3,0.1,3.4,0.7,26671.703309
9.1,7.7,1.6,3.4,0.8,0.1,3.4,0.7,27093.735006
9.1,7.7,1.6,3.4,0.3,0.7,3.4,0.7,27223.289914
9.1,7.7,1.6,3.4,0.3,0.1,0.6,0.7,26381.133243
9.1,7.7,1.6,3.4,0.3,0.1,3.4,1.0,27019.861434
